Date,Location,Description
3/24/1999,Yugoslavia,"In order to expel Serbian forces from Kosovo during the Kosovo War, NATO forces initiate their first-ever military campaign against the Federal Republic of Yugoslavia (now Montenegro and Serbia) without U.N. Security Council authorization as Russia and China oppose the attack. The NATO air strikes are aimed at stopping an onslaught against ethnic Albanians by the government of Slobodan Milošević. The NATO attacks last nearly three months, culminating in the withdrawal of Yugoslav forces from Kosovo."
11/2/2000,—,"Commanders Bill Shepherd from the United States and Yuri Gidzenko of Russia, along with Russian flight engineer Sergei Krikalev become the first temporary residents of the International Space Station two years after the first component of the research center was put into low-Earth orbit about 250 miles above sea level. Since that first crew, there have been 229 other visitors to the ISS,some of them multiple times, led by 146 from the United States and 47 from Russia."
9/11/2001,USA,"In the worst attack on U.S. soil since the Japanese bombed Pearl Harbor in 1941, 19 hijackers inspired by Islamist extremism kill nearly 3,000 people after crashing three passenger-laden commercial aircraft into the World Trade Center towers in lower Manhattan and the Pentagon in Arlington, Virginia. A fourth plane, United Airlines 93, crashes in Somerset County, Pennsylvania, after passengers and crew attempt to regain control of the plane headed Washington D.C."
11/25/2002,USA,"Following the Sept. 11, 2001, terrorist attacks, the U.S. Congress and President George W. Bush enact the Homeland Security Act, the biggest government reorganization of national security efforts since the Department of Defense was created in 1947. The sweeping legislation creates the massive Department of Homeland Security, which is responsible for everything from protecting infrastructure from cyber-attacks to managing the new U.S. Immigration and Customs Enforcement (ICE) agency."
3/19/2003,Iraq,"With the help of British and other allied forces, the United States begins its invasion of Iraq with a rapid bombing “Shock and Awe” campaign with the intention of destroying Iraq’s alleged weapons of mass destruction; the weapons are never found. Coalition forces manage to quickly topple the Iraqi regime of Saddam Hussein, but have to fight insurgent forces for years afterward."
2/4/2004,USA,"Mark Zuckerberg, a 23-year-old Harvard University student, creates “The facebook,” a local social networking site named after the orientation materials that profiles students and faculty and given to incoming college freshmen. Sixteen years later, Facebook has become an $843.6 billion digital advertising behemoth so integral to many people’s lives that it has been criticized for helping foreign powers and propagandists influence the U.S. political system."
8/29/2005,USA,"After spending four days in the Gulf of Mexico bulking up to a category 5 hurricane, Katrina slams into New Orleans, inundating the city and creating a humanitarian crisis that lasts for weeks. The catastrophe underscores the precarious situation not only in the Big Easy, but also the surrounding area of the Gulf Coast. At least 1,833 people in the storm’s path are killed, and the storm inflicts $161 billion in damages to the region, the costliest storm in U.S. history."
12/30/2006,Iraq,"Three years after U.S. soldiers pulled him from a hole in the ground where he had been hiding, Iraqi dictator Saddam Hussein is hanged after he was convicted for crimes against humanity, specifically for ordering the massacre of 148 Shiites in 1982 following a failed assassination attempt against him."
1/9/2007,USA,"Apple CEO Steve Jobs, who died in October 2011, first shows the world one of the most popular branded consumer electronic devices in history, the iPhone. Since the first generation phone that Jobs introduced at the Consumer Electronics Show that year, there have been 18 versions of the mobile device, and more than 1.2 billion units have been sold globally through 2017. Only Samsung’s Galaxy smartphone comes close to that volume."
9/29/2008,USA,"The Dow Jones Industrial Average records an intraday drop of 777.68 points after Congress rejects a massive $700 billion bailout of U.S. banks. The bill would pass days later. The market reacts also to months of global market turmoil amid the 2008 global financial crisis spurred by the U.S. subprime mortgage market crash. The Dow fell by more than half during the 2007-09 Great Recession, tumbling from 14,164 on Oct. 9, 2007 to 6,594 on March 5, 2009."
1/20/2009,USA,"After defeating Republican Sen. John McCain of Arizona by amassing 365 electoral votes and 53% of the popular vote, Barack Obama is sworn in as the first African American president of the United States. Obama inherits the worst economic crisis since the Great Depression, but with his party holding majorities in both houses of Congress at the time, the president is able to pass a stimulus package and his signature Affordable Care Act in March 2010."
4/20/2010,USA,"Eleven workers die and 17 are injured after an explosion and fire erupts on the Deepwater Horizon offshore drilling rig 40 miles from the Louisiana coast. The explosion causes the largest environmental disaster in U.S. history, spewing 3 million barrels of crude over the three months it takes to stop the leak. British oil company BP says costs climbed to $65 billion in claims for the accident, including a $1.7 billion charge it took as recently as the fourth quarter of 2017."
5/2/2011,Pakistan,"In an intense 40-minute nighttime firefight, 25 U.S. Navy SEALs hunt down and kill al Qaeda leader Osama bin Laden, mastermind of the 9/11 terrorist attacks, in a compound in Abbottabad, Pakistan. Within hours, bin Laden’s body is identified using DNA and then buried at sea."
7/4/2012,Switzerland,"Nearly 600 feet below the France-Switzerland border at CERN’s Large Hadron Collider Facility, an international team of scientists discovers a new particle widely believed to be the elusive Higgs boson, known as the “God Particle,” which is thought to be a fundamental component of the universe. Higgs boson has been an important element of particle physics theory for decades, but until 2012 there had been no physical evidence to support its existence."
6/6/2013,Hong Kong,"After surreptitiously leaving his job at U.S. National Security Agency contractor Booz Allen Hamilton, computer security consultant Edward Snowden meets secretly in Hong Kong with journalists Glenn Greenwald and Laura Poitras. He reveals the first of a series of secrets about numerous U.S. and European government surveillance operations. Hailed as a courageous whistleblower and privacy champion by some, and a traitor that compromised counterterrorism efforts by others, the American now resides in exile in Moscow."
3/16/2014,Crimea,"Exploiting political unrest in Ukraine, Russian President Vladimir Putin orchestrates the annexation of the Crimean Peninsula. The action incites peals of condemnation from world leaders and a raft of economic sanctions against Moscow. This strategically important and predominantly Russian-speaking region on the Black Sea has been coveted by the Russians as part of their strategic efforts to check NATO expansion along Russia’s western border."
7/14/2015,—,"NASA spacecraft New Horizons becomes the first human-made object to fly past and observe the dwarf planet Pluto. New Horizons sends back stunning photographs of this enigmatic and distant member of the solar system, including images of a mountain range and massive icebergs floating in frozen nitrogen. New Horizons is now en route to the Kuiper Belt, a massive asteroid belt at the far reaches of the solar system."
11/8/2016,USA,"Running on a populist agenda, Donald Trump is elected the 45th president of the United States and the fifth president in U.S. history (the second since the 2000) to win despite losing the popular vote. The real estate developer and television personality ran on a platform of putting “America First” in global trade and foreign policy negotiations and cracking down on undocumented immigrants."
8/1/2017,—,"Within just four weeks, three massive hurricanes — Harvey, Irma, and Maria — strike Texas, Florida, and the Caribbean, killing 228 people, inflicting a combined $265 billion in damages, and displacing millions of homeowners. Hurricane Maria inflicts immense damage to the U.S. commonwealth of Puerto Rico, which was already struggling from economic insolvency."
11/1/2018,USA,"Wildfires engulfed northern California in November, the deadliest in that state’s history. The catastrophe cost the lives of 88 people and fire consumed 18,500 homes and businesses. State and federal officials estimated that it would cost $3 billion to clean up debris. Climate change activists said the conflagrations were evidence that global warming is no longer a distant concern and that it is occurring now."
3/1/2019,Hong Kong,"Residents of the small economic powerhouse of Hong Kong, which was given special administrative region status as a condition to its handover to China from Great Britain, protested a proposed extradition bill in March. That led to other mass demonstrations in Hong Kong throughout the year over concerns China was trying to erode Hong Kong’s autonomy."
3/1/2020,—,"A novel coronavirus, SARS-CoV-2, that causes the disease COVID-19 was first detected in Wuhan, China, in late 2019. The virus spread to Europe and the United States in early 2020 and was declared a pandemic by the World Health Organization on March 11. The outbreak reached virtually every nation on Earth, leading to countrywide lockdowns, massive layoffs, business closures, and school shutdowns. As of Aug. 26, the pandemic claimed more than 820,000 lives worldwide, including about 179,000 people in the U.S. COVID-19 has become the worst pandemic since the Spanish flu in 1918."
